organisation1_name,organisation2_name,num_of_projects
ABO AKADEMI,UPPSALA UNIVERSITET,1
FREIE UNIVERSITAET BERLIN,UNIVERSITEIT GENT,2
FRAUNHOFER GESELLSCHAFT ZUR FORDERUNG DER ANGEWANDTEN FORSCHUNG EV,NARODNE LESNICKE CENTRUM,1
FRAUNHOFER GESELLSCHAFT ZUR FORDERUNG DER ANGEWANDTEN FORSCHUNG EV,VYSKUMNY USTAV PAPIERA A CELULOZY AS,1
NARODNE LESNICKE CENTRUM,VYSKUMNY USTAV PAPIERA A CELULOZY AS,1
ITA-SUOMEN YLIOPISTO,THE UNIVERSITY OF SHEFFIELD,1
ITA-SUOMEN YLIOPISTO,UNIDADE LOCAL DE SAUDE DE COIMBRA EPE,1
ITA-SUOMEN YLIOPISTO,UNIVERSIDADE DE COIMBRA,3
THE UNIVERSITY OF SHEFFIELD,UNIDADE LOCAL DE SAUDE DE COIMBRA EPE,1
THE UNIVERSITY OF SHEFFIELD,UNIVERSIDADE DE COIMBRA,2
UNIDADE LOCAL DE SAUDE DE COIMBRA EPE,UNIVERSIDADE DE COIMBRA,1
CENTRO NACIONAL DE INVESTIGACION SOBRE LA EVOLUCION HUMANA,MONASH UNIVERSITY,1
ASSOCIATION EDHEC BUSINESS SCHOOL,EIDGENOESSISCHE TECHNISCHE HOCHSCHULE ZUERICH,1
ASSOCIATION EDHEC BUSINESS SCHOOL,WIRTSCHAFTSUNIVERSITAT WIEN,1
EIDGENOESSISCHE TECHNISCHE HOCHSCHULE ZUERICH,WIRTSCHAFTSUNIVERSITAT WIEN,1
KOBENHAVNS UNIVERSITET,THE CITY UNIVERSITY OF NEW YORK CORPORATION,1
LUDWIG-MAXIMILIANS-UNIVERSITAET MUENCHEN,TECHNISCHE UNIVERSITAT DORTMUND,1
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,EUROPEAN MOLECULAR BIOLOGY LABORATORY,7
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,FUNDACIO CENTRE DE REGULACIO GENOMICA,2
EUROPEAN MOLECULAR BIOLOGY LABORATORY,FUNDACIO CENTRE DE REGULACIO GENOMICA,4
JOHANN WOLFGANG GOETHE-UNIVERSITAET FRANKFURT AM MAIN,UNIVERSITAET MANNHEIM,1
INSTITUT ZA NOVEJSO ZGODOVINO,KOZEP-EUROPAI EGYETEM,1
AKKODIS ITALY SRL,BRESTPORT,1
AKKODIS ITALY SRL,CARONTE & TOURIST S.P.A.,1
AKKODIS ITALY SRL,CIRCOE,1
AKKODIS ITALY SRL,CONSORCIO PARA EL SERVICIO DE PREVENCION Y EXTINCION DE INCENDIOS Y SALVAMENTO DE LA PROVINCIA DE VALENCIA,1
AKKODIS ITALY SRL,DEVELOPMENT & INNOVATION IN TRANSPORT SYSTEMS SRL,1
AKKODIS ITALY SRL,ECOLE NATIONALE SUPERIEURE MARITIME,1
AKKODIS ITALY SRL,FONDAZIONE INSTITUTE FOR SUSTAINABLE SOCIETY AND INNOVATION,1
AKKODIS ITALY SRL,"FUNDACION DE LA COMUNIDAD VALENCIANA PARA LA INVESTIGACION, PROMOCION Y ESTUDIOS COMERCIALES DE VALENCIAPORT",1
AKKODIS ITALY SRL,GTS SERVIZI SRL,1
AKKODIS ITALY SRL,HOCHSCHULE BREMERHAVEN - UNIVERSITY OF APPLIED SCIENCES,1
AKKODIS ITALY SRL,INSTITUT FUR SEEVERKEHRSWIRTSCHAFT UND LOGISTIK,1
AKKODIS ITALY SRL,ITALIAN MARITIME ACADEMY TECHNOLOGIES SRL,1
AKKODIS ITALY SRL,PEOPLETRUST S.R.L.,1
AKKODIS ITALY SRL,SEATOPIC,1
AKKODIS ITALY SRL,SIEC BADAWCZA LUKASIEWICZ-INSTYTUT LOTNICTWA,1
AKKODIS ITALY SRL,TOPVIEW SRL,1
BRESTPORT,CARONTE & TOURIST S.P.A.,1
BRESTPORT,CIRCOE,1
BRESTPORT,CONSORCIO PARA EL SERVICIO DE PREVENCION Y EXTINCION DE INCENDIOS Y SALVAMENTO DE LA PROVINCIA DE VALENCIA,1
BRESTPORT,DEVELOPMENT & INNOVATION IN TRANSPORT SYSTEMS SRL,1
BRESTPORT,ECOLE NATIONALE SUPERIEURE MARITIME,1
BRESTPORT,FONDAZIONE INSTITUTE FOR SUSTAINABLE SOCIETY AND INNOVATION,1
BRESTPORT,"FUNDACION DE LA COMUNIDAD VALENCIANA PARA LA INVESTIGACION, PROMOCION Y ESTUDIOS COMERCIALES DE VALENCIAPORT",1
BRESTPORT,GTS SERVIZI SRL,1
BRESTPORT,HOCHSCHULE BREMERHAVEN - UNIVERSITY OF APPLIED SCIENCES,1
BRESTPORT,INSTITUT FUR SEEVERKEHRSWIRTSCHAFT UND LOGISTIK,1
BRESTPORT,ITALIAN MARITIME ACADEMY TECHNOLOGIES SRL,1
BRESTPORT,PEOPLETRUST S.R.L.,1
BRESTPORT,SEATOPIC,1
BRESTPORT,SIEC BADAWCZA LUKASIEWICZ-INSTYTUT LOTNICTWA,1
BRESTPORT,TOPVIEW SRL,1
CARONTE & TOURIST S.P.A.,CIRCOE,1
CARONTE & TOURIST S.P.A.,CONSORCIO PARA EL SERVICIO DE PREVENCION Y EXTINCION DE INCENDIOS Y SALVAMENTO DE LA PROVINCIA DE VALENCIA,1
CARONTE & TOURIST S.P.A.,DEVELOPMENT & INNOVATION IN TRANSPORT SYSTEMS SRL,1
CARONTE & TOURIST S.P.A.,ECOLE NATIONALE SUPERIEURE MARITIME,1
CARONTE & TOURIST S.P.A.,FONDAZIONE INSTITUTE FOR SUSTAINABLE SOCIETY AND INNOVATION,1
CARONTE & TOURIST S.P.A.,"FUNDACION DE LA COMUNIDAD VALENCIANA PARA LA INVESTIGACION, PROMOCION Y ESTUDIOS COMERCIALES DE VALENCIAPORT",1
CARONTE & TOURIST S.P.A.,GTS SERVIZI SRL,1
CARONTE & TOURIST S.P.A.,HOCHSCHULE BREMERHAVEN - UNIVERSITY OF APPLIED SCIENCES,1
CARONTE & TOURIST S.P.A.,INSTITUT FUR SEEVERKEHRSWIRTSCHAFT UND LOGISTIK,1
CARONTE & TOURIST S.P.A.,ITALIAN MARITIME ACADEMY TECHNOLOGIES SRL,1
CARONTE & TOURIST S.P.A.,PEOPLETRUST S.R.L.,1
CARONTE & TOURIST S.P.A.,SEATOPIC,1
CARONTE & TOURIST S.P.A.,SIEC BADAWCZA LUKASIEWICZ-INSTYTUT LOTNICTWA,1
CARONTE & TOURIST S.P.A.,TOPVIEW SRL,1
CIRCOE,CONSORCIO PARA EL SERVICIO DE PREVENCION Y EXTINCION DE INCENDIOS Y SALVAMENTO DE LA PROVINCIA DE VALENCIA,1
CIRCOE,DEVELOPMENT & INNOVATION IN TRANSPORT SYSTEMS SRL,1
CIRCOE,ECOLE NATIONALE SUPERIEURE MARITIME,1
CIRCOE,FONDAZIONE INSTITUTE FOR SUSTAINABLE SOCIETY AND INNOVATION,1
CIRCOE,"FUNDACION DE LA COMUNIDAD VALENCIANA PARA LA INVESTIGACION, PROMOCION Y ESTUDIOS COMERCIALES DE VALENCIAPORT",1
CIRCOE,GTS SERVIZI SRL,1
CIRCOE,HOCHSCHULE BREMERHAVEN - UNIVERSITY OF APPLIED SCIENCES,1
CIRCOE,INSTITUT FUR SEEVERKEHRSWIRTSCHAFT UND LOGISTIK,1
CIRCOE,ITALIAN MARITIME ACADEMY TECHNOLOGIES SRL,1
CIRCOE,PEOPLETRUST S.R.L.,1
CIRCOE,SEATOPIC,1
CIRCOE,SIEC BADAWCZA LUKASIEWICZ-INSTYTUT LOTNICTWA,1
CIRCOE,TOPVIEW SRL,1
CONSORCIO PARA EL SERVICIO DE PREVENCION Y EXTINCION DE INCENDIOS Y SALVAMENTO DE LA PROVINCIA DE VALENCIA,DEVELOPMENT & INNOVATION IN TRANSPORT SYSTEMS SRL,1
CONSORCIO PARA EL SERVICIO DE PREVENCION Y EXTINCION DE INCENDIOS Y SALVAMENTO DE LA PROVINCIA DE VALENCIA,ECOLE NATIONALE SUPERIEURE MARITIME,1
CONSORCIO PARA EL SERVICIO DE PREVENCION Y EXTINCION DE INCENDIOS Y SALVAMENTO DE LA PROVINCIA DE VALENCIA,FONDAZIONE INSTITUTE FOR SUSTAINABLE SOCIETY AND INNOVATION,1
CONSORCIO PARA EL SERVICIO DE PREVENCION Y EXTINCION DE INCENDIOS Y SALVAMENTO DE LA PROVINCIA DE VALENCIA,"FUNDACION DE LA COMUNIDAD VALENCIANA PARA LA INVESTIGACION, PROMOCION Y ESTUDIOS COMERCIALES DE VALENCIAPORT",1
CONSORCIO PARA EL SERVICIO DE PREVENCION Y EXTINCION DE INCENDIOS Y SALVAMENTO DE LA PROVINCIA DE VALENCIA,GTS SERVIZI SRL,1
CONSORCIO PARA EL SERVICIO DE PREVENCION Y EXTINCION DE INCENDIOS Y SALVAMENTO DE LA PROVINCIA DE VALENCIA,HOCHSCHULE BREMERHAVEN - UNIVERSITY OF APPLIED SCIENCES,1
CONSORCIO PARA EL SERVICIO DE PREVENCION Y EXTINCION DE INCENDIOS Y SALVAMENTO DE LA PROVINCIA DE VALENCIA,INSTITUT FUR SEEVERKEHRSWIRTSCHAFT UND LOGISTIK,1
CONSORCIO PARA EL SERVICIO DE PREVENCION Y EXTINCION DE INCENDIOS Y SALVAMENTO DE LA PROVINCIA DE VALENCIA,ITALIAN MARITIME ACADEMY TECHNOLOGIES SRL,1
CONSORCIO PARA EL SERVICIO DE PREVENCION Y EXTINCION DE INCENDIOS Y SALVAMENTO DE LA PROVINCIA DE VALENCIA,PEOPLETRUST S.R.L.,1
CONSORCIO PARA EL SERVICIO DE PREVENCION Y EXTINCION DE INCENDIOS Y SALVAMENTO DE LA PROVINCIA DE VALENCIA,SEATOPIC,1
CONSORCIO PARA EL SERVICIO DE PREVENCION Y EXTINCION DE INCENDIOS Y SALVAMENTO DE LA PROVINCIA DE VALENCIA,SIEC BADAWCZA LUKASIEWICZ-INSTYTUT LOTNICTWA,1
