organization_name,communityId,country
MEDSENSIO AS,16,NO
MANINA MEDTECH SL,17,ES
INSTITUTE OF LANGUAGE TECHNOLOGY EDUCATION,18,SK
STICHTING LEIDEN EUROPEAN CITY OF SCIENCE 2022,19,NL
KATOWICE - MIASTO NA PRAWACH POWIATU,22,PL
RETIREMENT SAVINGS VEHICLE FOR EUROPEAN RESEARCH INSTITUTIONS,23,BE
"Ministrstvo za izobrazevanje, znanost in sport",24,SI
JEUNESSES SCIENTIFIQUES DE BELGIQUE,29,BE
EIT KIC ISRAEL LTD,32,IL
EIT MANUFACTURING ASBL,34,FR
EIT FOOD CLC WEST,35,BE
EIT DIGITAL SILICON VALLEY FOUNDATION,36,US
EIT DIGITAL UK,41,UK
EIT DIGITAL ACCELERATOR,42,BE
EIT DIGITAL SWEDEN,43,SE
EIT DIGITAL FINLAND RY,45,FI
EIT DIGITAL EDUCATION FOUNDATION,46,BE
EIT DIGITAL HUNGARY NON PROFIT KFT,47,HU
"SOMETHING IN HANDS - INVESTIGACAOCIENTIFICA, LDA",48,PT
UAB AERODIAGNOSTIKA,49,LT
CUREVISION GMBH,50,DE
ALPHA BRAIN TECHNOLOGIES,52,NL
RELIOS.VISION GMBH,54,DE
EKOLIVE SRO,55,SK
AWARE7 GMBH,56,DE
DOBA FAKULTETA ZA UPORABNE POSLOVNEIN DRUZBENE STUDIJE MARIBOR,57,SI
"WESTFALISCHE HOCHSCHULE GELSENKIRCHEN, BOCHOLT, RECKLINGHAUSEN",58,DE
BALTIC INNOVATION AGENCY OU,60,EE
MOBINOV - ASSOCIACAO DO CLUSTERAUTOMOVEL,61,PT
EESTI INFOTEHNOLOOGIA JA TELEKOMMUNIKATSIOONI LIIT,62,EE
GEORGIAN ICT CLUSTER,63,GE
ASOCIACION CLUSTER ALIMENTARIO DE GALICIA,64,ES
TECHNOPOLE QUIMPER CORNOUAILLE,66,FR
NORMANDIE INCUBATION,67,FR
Stichting Food Valley,69,NL
POLE EUROPEEN INNOVATION ALIMENTATION BIEN-ETRE NATURALITE,70,FR
CENTRO EUROPEO DE EMPRESAS E INNOVACION DE NAVARRA SL,71,ES
ASSOCIATION DU POLE DE COMPETIVITE VALORIAL,72,FR
MATAN INVESTING IN THE COMMUNITY,81,IL
SOCIAL IMPACT AGENDA PER L ITALIA,82,IT
FAIR FINANCER ACCOMPAGNER IMPACTER RASSEMBLER,83,FR
THE GLOBAL STEERING GROUP FOR IMPACT INVESTMENT,84,UK
"MAZE IMPACT, S.A.",85,PT
"CONFINDUSTRIA EMILIA AREA CENTRO, LE IMPRESE DI BOLOGNA, FERRARA E MODENA",86,IT
ZWIAZEK PRACODAWCOW KLASTRY POLSKIE,87,PL
ASSOCIATION FRANCAISE DES POLES DE COMPETITIVITE,88,FR
CLUSTERS OF SWEDEN,89,SE
FEDERACION NACIONAL DE AGRUPACIONESDE EMPRESAS INNOVADORAS Y CLUSTERS,90,ES
IMPACT HUB BIEDRIBA,91,LV
ROPOT BOUTIQUE SRL,92,RO
WORLDSTARTUPFACTORY BV,94,NL
TOULOUSE METROPOLE,95,FR
IMPACT HUB GMBH,96,AT
IMPACT SHAKERS LABS,97,BE
POKRENI IDEJU - UDRUGA ZA PROMICANJE SOCIJALNIH INOVACIJA,98,HR
DISIE KOBENHAVN,99,DK
ASSOCIACIO CLUSTER DIGITAL DE CATALUNYA,100,ES
VEJLE KOMMUNE,103,DK
Tartu Science Park Foundation,104,EE
SDRUZHENIE BULGARSKI BIZNES FORUMI,105,BG
ODRAZ-ODRZIVI RAZVOJ ZAJEDNICE,107,HR
URBAN DNA SOLUTIONS LLP,109,UK
ASOCIACION EMPRESARIAL MULTISECTORIAL INNOVADORA PARA LAS CIUDADES INTELIGENTES SMART CITY CLUSTER,111,ES
ELLINIKO VRAVEIO EPICHEIRIMATIKOTITAS,116,EL
NATIONAL ASSOCIATION OF COMMUNITYENTERPRISE CENTRES (NACEC),118,IE
CITY OF TURKU,119,FI
CIVITTA EESTI AS,121,EE
VARSINAIS-SUOMEN LIITTO,124,FI
DEPARTAMENT D'EMPRESA I CONEIXEMENT,127,ES
BIOINDUSTRY PARK SILVANO FUMERO SPA SOCIETA'BENEFIT,128,IT
CHAMBRE DE COMMERCE ET D'INDUSTRIE DE REGION PARIS ILE-DE-FRANCE,129,FR
COUNCIL OF EUROPEAN BIOREGIONS,130,BE
BIOLAGO EV,131,DE
FORENINGEN DANISH LIFE SCIENCE CLUSTER,134,DK
MEDICEN PARIS REGION,135,FR
TRENTINO SOCIAL TANK SOCIETA COOPERATIVA,145,IT
GRUNHOF EV - VEREIN FUR GESELLSCHAFTLICHE INNOVATION,146,DE
LIETUVOS SOCIALINIO VERSLO ASOCIACIJA,147,LT
ASTIKI MI KERDOSKOPIKI ETAIREIA ANAPTYXIS OIKOSYSTIMATOS KAINOTOMIAS THESSALONIKIS,152,EL
INOVACIONI CENTAR MASINSKOG FAKULTETA DOO,154,RS
CU SERVICES LIMITED,155,UK
FUNDACJA UNIWERSYTETU IM ADAMA MICKIEWICZA W POZNANIU,156,PL
BIZNES INOVATSIONEN TSENTUR INOBRIDZH SDRUZHENIE,159,BG
BWCON GMBH,162,DE
PINOVA AS,163,NO
HEANET CLG,175,IE
ENTIDAD PUBLICA EMPRESARIAL RED.ES,176,ES
JISC LBG,177,UK
NAVALGO,179,FR
MULTI4 MEDICAL AB,180,SE
NAVARI SURGICAL AB,181,SE
INNOVATION SKANE AB,182,SE
AGENTIA PENTRU DEZVOLTARE REGIONALA BUCURESTI ILFOV ADRBI,185,RO
ROHEALTH - CLUSTERUL PENTRU SANATATE SI BIOECONOMIE,186,RO
INSTITUTO DE FOMENTO DE LA REGION DE MURCIA,188,ES
UTBILDNINGSDEPARTEMENTET,190,SE
KASURIA GMBH,196,DE
LINKSIGHT BV,197,NL
NANOSTRUCT GMBH,198,DE
1000 KELVIN GMBH,199,DE
HEATRIX GMBH,201,DE
FRENESIM DAS ONDAS LDA,202,PT
REDOXNRG OU,203,EE
BREAZ MEDICAL SL,204,ES
BLUE LICE AS,205,NO
SIA SEMANTIC INTELLIGENCE,206,LV
Policejni akademie Ceske republiky v Praze,207,CZ
SCOTTISH POLICE AUTHORITY,209,UK
MINISTERIO DA ADMINISTRACAO INTERNA,211,PT
POLIISIAMMATTIKORKEAKOULU,214,FI
POLITIHOGSKOLEN,216,NO
A.I. FOR ALPHA,219,FR
UNIVERSAL SMART COOLING S.L.,220,ES
XTREMEDY MEDICAL LIMITED,221,IE
INNOENERGY CENTRAL EUROPE SP ZOO,222,PL
EIT URBAN MOBILITY INNOVATION HUBEAST S.R.O.,223,CZ
EIT RAWMATERIALS CLC BALTIC SEA OY,224,FI
EIT HEALTH CLC FRANCE,228,FR
EIT RAWMATERIALS CLC WEST,235,BE
EIT RAWMATERIALS CLC SOUTH SRL,236,IT
EIT FOOD CLC CENTRAL GMBH,238,DE
EIT DIGITAL ALUMNI,239,BE
"COLORSENSING, S.L.",241,ES
SGS BRIGHTSIGHT BARCELONA SL,244,ES
AVERTTO MEDICAL LTD,248,IL
MEDICQUANT APS,249,DK
SOLUTERIALS GMBH,250,DE
UAB REDIGA,251,LT
DIOXYCLE SAS,252,FR
DIE FRISCHEMANUFAKTUR GMBH,253,DE
CTD AS,254,NO
UCLAN CYPRUS LIMITED,257,CY
SPLASTICA SRL,262,IT
ALGBIO ENERJI ARITIM VE MUHENDISLIK ANONIM SIRKETI,263,TR
EIT MANUFACTURING CENTRAL GGMBH,265,DE
"KONTAKT - ELEKTRO IPARI,KERESKEDELMI KFT",266,HU
EVIDO APS,268,DK
MIM FERTILITY SP ZOO,269,PL
DEX INNOVATION CENTRE,270,CZ
DESIGN TERMINAL KOZHASZNU NONPROFIT KORLATOLT FELELOSSEGU TARSASAG,271,HU
SIHTASUTUS TALLINNA TEADUSPARK TEHNOPOL,272,EE
SPINLAB ACCELERATOR GMBH,273,DE
EIT HEALTH SCANDINAVIAN CLC,274,SE
EIT HEALTH GERMANY-SWITZERLAND CLC GMBH,276,DE
WorkInHealth Foundation,277,FR
VERENIGING EIT HEALTH BELGIE-NEDERLAND,278,NL
EIT HEALTH AUSTRIA GMBH,279,AT
EUROPEAN INSTITUTE FOR TALENT SKILLING INTELLIGENCE,280,FR
EIT HEALTH IRELAND COMPANY LIMITED BY GUARANTEE,281,IE
EIT HEALTH SI GMBH,282,DE
KYRON.BIO,283,FR
MOLECULE MESSAGE-UNIPESSOAL LDA,284,PT
KOLLEKTIVA GIA TIN KOINONIKI KAINOTOMIA KAI TON POLITISMO ASTIKI MI KERDOSKOPIKI ETAIREIA,287,EL
GRUPUL DE CONSULTANTA PENTRU DEZVOLTARE DCG SRL,289,RO
CENTER VESOLJSKIH TEHNOLOGIJ HERMANA POTOCNIKA NOORDUNGA,290,SI
KARAHA LEYLAH FARU,291,IE
ECOSTEER SRL,293,IT
VITALA TECHNOLOGIES SL,294,ES
CELL AND SOFT,296,FR
GATE2BRAIN SL,298,ES
BEAMS,299,FR
UMAYANA ARASTIRMA GELISTIRME VE ILAC SANAYI ANONIM SIRKETI,300,TR
FLOATING GENES,301,FR
BIOINTAXIS SL,302,ES
LEVELQUANTUM S.R.L.,303,IT
TEXTILE CHANGE APS,304,DK
OPTM.RX LTD,305,IL
EXHEUS SL,306,ES
STEMSIGHT OY,307,FI
ANTLER BIO LIMITED,318,IE
BRABANTSE ONTWIKKELINGS MAATSCHAPPIJ HOLDING BV,321,NL
ASSOCIATION FOR THE ADVANCEMENT OF TISSUE ENGINEERING AND CELL BASED TECHNOLOGIES & THERAPIES,322,PT
GORNOSLASKI AKCELERATOR PRZEDSIEBIORCZOSCI RYNKOWEJ SP Z O.O.,324,PL
FLANDERSBIO,325,BE
WOID AS,327,NO
NIMBLE DIAGNOSTICS SL,328,ES
REACH FOR CHANGE FOUNDATION,329,SE
MITTETULUNDUSUHING SOTSIAALSETE ETTEVOTETE VORGUSTIK,330,EE
MB KATALISTOS PARTNERIAI,331,LT
SHANX MEDTECH B.V.,332,NL
"EXPRESSTEC - INVESTIGAO E DESENVOLVIMENTO EM BIOTECNOLOGIA, LDA",333,PT
SEABELIFE SAS,334,FR
CELTARYS RESEARCH SL,335,ES
BLINDLOOK BILISIM TEKNOLOJILERI SANAYI VE TICARET ANONIM SIRKETI,336,TR
KELVIN HELT AD,337,BG
FEJUICE DOO SREMSKA KAMENICA,338,RS
SMALLOPS SL,339,ES
FASTPRINCIPLE  LDA,340,PT
AGOPRENE AS,342,NO
BRIGHT DAY GRAPHENE AB,343,SE
LIFELET MEDICAL LIMITED,344,IE
THEGREENSHOT,345,BE
GEMMA ROBOTICS LTD,346,IL
NEFFA HOLDING BV,347,NL
ASSEMBLEAN GMBH,348,DE
NEXT-GEN LEATHER SL,349,ES
UAB AVODES,350,LT
ENGINEERING MINDS MUNICH GMBH,351,DE
HEXAGON VENTURE SRL,354,RO
EUVC DENMARK APS,355,DK
E-PROCUREMENT SERVICES BV,365,NL
MUXLEY,367,FR
ASSOCIATION PEGASE,369,FR
BOUALI YOUSSEF,370,IT
Health Cluster Portugal - Associacao do Polo de Competitividade da Saude,371,PT
SCANBALT MTU,372,EE
OIY SOLUTIONS GMBH,373,DE
NOVOBIOM,380,BE
SPACESENSE,381,FR
SUCCIPRO SL,383,ES
ASOCIATIA CLUSTERELOR DIN ROMANIA,384,RO
LATVIJAS PARTIKAS UZNEMUMU FEDERACIJA,385,LV
"ASOCIACION INVESTIGACION, DESARROLLO E INNOVACION EN ARAGON",387,ES
GRUENHOF GMBH,389,DE
IENAI SPACE SL,391,ES
MYOPAX GMBH,392,DE
THE BLUE BOX BIOMEDICAL SOLUTIONS SL,393,ES
TRUFFLE CAPITAL,394,FR
THE FINTECH CORRIDOR COMPANY LIMITED BY GUARANTEE,395,IE
CROWDFUNDINGHUB BV,398,NL
IMPULSE4WOMEN,399,ES
ASOCIATIA ROMANA DE FINTECH,400,RO
Greater Copenhagen Committee,407,DK
